id,name,middle_category_id,order_number,brand_upper_category_id,size_type_id,
456,ラブソファ,51,3,4,,
457,トリプルソファ,51,4,4,,
458,オットマン,51,5,4,,
459,コーナーソファ,51,6,4,,
460,ビーズソファ/クッションソファ,51,7,4,,
461,ローソファ/フロアソファ,51,8,4,,
462,ソファベッド,51,9,4,,
463,応接セット,51,10,4,,
464,ソファカバー,51,11,4,,
465,リクライニングソファ,51,12,4,,
466,その他,51,13,4,,
467,一般,52,1,4,,
468,スツール,52,2,4,,
469,ダイニングチェア,52,3,4,,
470,ハイバックチェア,52,4,4,,
471,ロッキングチェア,52,5,4,,
472,座椅子,52,6,4,,
473,折り畳みイス,52,7,4,,
474,デスクチェア,52,8,4,,
475,その他,52,9,4,,
476,こたつ,53,1,4,,
477,カウンターテーブル,53,2,4,,
478,サイドテーブル,53,3,4,,
479,センターテーブル,53,4,4,,
480,ダイニングテーブル,53,5,4,,
481,座卓/ちゃぶ台,53,6,4,,
482,アウトドア用,53,7,4,,
483,パソコン用,53,8,4,,
484,事務机/学習机,53,9,4,,
485,その他,53,10,4,,
486,リビング収納,54,1,4,,
487,キッチン収納,54,2,4,,
488,玄関/屋外収納,54,3,4,,
489,バス/トイレ収納,54,4,4,,
490,本収納,54,5,4,,
491,本/CD/DVD収納,54,6,4,,
492,洋服タンス/押入れ収納,54,7,4,,
493,電話台/ファックス台,54,8,4,,
494,ドレッサー/鏡台,54,9,4,,
495,棚/ラック,54,10,4,,
496,ケース/ボックス,54,11,4,,
497,その他,54,12,4,,
498,ラグ,55,1,4,,
499,カーペット,55,2,4,,
500,ホットカーペット,55,3,4,,
501,玄関/キッチンマット,55,4,4,,
502,その他,55,5,4,,
503,カーテン,56,1,4,,
504,ブラインド,56,2,4,,
505,ロールスクリーン,56,3,4,,
506,のれん,56,4,4,,
507,その他,56,5,4,,
508,蛍光灯/電球,57,1,4,,
509,天井照明,57,2,4,,
510,フロアスタンド,57,3,4,,
511,その他,57,4,4,,
512,布団/毛布,58,1,4,,
513,枕,58,2,4,,
514,シーツ/カバー,58,3,4,,
515,その他,58,4,4,,
516,ごみ箱,59,1,4,,
517,ウェルカムボード,59,2,4,,
518,オルゴール,59,3,4,,
519,クッション,59,4,4,,
520,クッションカバー,59,5,4,,
521,スリッパラック,59,6,4,,
522,ティッシュボックス,59,7,4,,
523,バスケット/かご,59,8,4,,
524,フォトフレーム,59,9,4,,
525,マガジンラック,59,10,4,,
526,モビール,59,11,4,,
527,花瓶,59,12,4,,
528,灰皿,59,13,4,,
529,傘立て,59,14,4,,
530,小物入れ,59,15,4,,
531,置時計,59,16,4,,
532,掛時計/柱時計,59,17,4,,
533,鏡（立て掛け式）,59,18,4,,
534,鏡（壁掛け式）,59,19,4,,
535,置物,59,20,4,,
536,風鈴,59,21,4,,
537,植物/観葉植物,59,22,4,,
538,その他,59,23,4,,
539,正月,60,1,,,
540,成人式,60,2,,,
541,バレンタインデー,60,3,,,
542,ひな祭り,60,4,,,
543,子どもの日,60,5,,,
544,母の日,60,6,,,
545,父の日,60,7,,,
546,サマーギフト/お中元,60,8,,,
547,夏/夏休み,60,9,,,
548,ハロウィン,60,10,,,
549,敬老の日,60,11,,,
550,七五三,60,12,,,
551,お歳暮,60,13,,,
552,クリスマス,60,14,,,
553,冬一般,60,15,,,
554,その他,60,16,,,
555,文学/小説,62,1,,,
556,人文/社会,62,2,,,
557,ノンフィクション/教養,62,3,,,
558,地図/旅行ガイド,62,4,,,
559,ビジネス/経済,62,5,,,
560,健康/医学,62,6,,,
561,コンピュータ/IT,62,7,,,
562,趣味/スポーツ/実用,62,8,,,
563,住まい/暮らし/子育て,62,9,,,
564,アート/エンタメ,62,10,,,
565,洋書,62,11,,,
566,絵本,62,12,,,
567,参考書,62,13,,,
568,その他,62,14,,,
569,全巻セット,63,1,,,
570,少年漫画,63,2,,,
571,少女漫画,63,3,,,
572,青年漫画,63,4,,,
573,女性漫画,63,5,,,
574,同人誌,63,6,,,
575,その他,63,7,,,
576,アート/エンタメ,64,1,,,
577,ファッション,64,2,,,
578,ニュース/総合,64,3,,,
579,趣味/スポーツ,64,4,,,
580,その他,64,5,,,
581,邦楽,65,1,,,
582,洋楽,65,2,,,
583,アニメ,65,3,,,
584,クラシック,65,4,,,
585,K-POP/アジア,65,5,,,
586,キッズ/ファミリー,65,6,,,
587,その他,65,7,,,
588,外国映画,66,1,,,
589,日本映画,66,2,,,
590,アニメ,66,3,,,
591,TVドラマ,66,4,,,
592,ミュージック,66,5,,,
593,お笑い/バラエティ,66,6,,,
594,スポーツ/フィットネス,66,7,,,
595,キッズ/ファミリー,66,8,,,
596,その他,66,9,,,
597,邦楽,67,1,,,
598,洋楽,67,2,,,
599,その他,67,3,,,
600,家庭用ゲーム本体,68,1,8,,
601,家庭用ゲームソフト,68,2,8,,
602,携帯用ゲーム本体,68,3,8,,
